author,comments,name,press,price,rank
阿梅莉·卡斯唐,938条评论,去旅行系列（全2册）法国教育部推荐！深度知识体系的人文地理百科,广西科学技术出版社,¥164.50,81.
东野圭吾,1227条评论,东野圭吾：假面山庄（东野圭吾烧脑长篇）,北京十月文艺出版社,¥42.80,82.
琬如,2719条评论,飞花令里读诗词 套装全4册,时代文艺出版社,¥83.40,83.
不列颠百科出品,107602条评论,大英儿童百科全书（全16卷）,湖南少儿出版社,¥309.10,84.
刘同,15668条评论,我在未来等你：刘同2017年新书,北京联合出版有限公司,¥33.40,85.
莫里斯桑达克,77351条评论,野兽国 （凯迪克金奖绘本，莫里斯桑达克代表品）,贵州人民出版社,¥27.70,86.
东野圭吾,103299条评论,东野圭吾：时生（东野圭吾暖心力作）,南海出版公司,¥35.30,87.
莳田晋至,3141条评论,在教室说错了没关系,青岛出版社,¥24.80,88.
哈珀·李,113070条评论,杀死一只知更鸟（纪念版）,译林出版社,¥29.20,89.
高苏珊娜,182018条评论,法布尔昆虫记（全10册）（儿童彩图版）,北京科学技术出版社,¥178.50,90.
玛丽安妮,513条评论,美国妈妈选择奖金奖绘本（套装共4册）,天津人民出版社,¥87.20,91.
山姆·麦克布雷尼,70条评论,猜猜我有多爱你 信谊世界精选图画书,明天出版社,¥34.40,92.
东野圭吾,1159条评论,放学后（东野圭吾成名作）,南海出版公司,¥42.80,93.
余华,3269条评论,许三观卖血记（新版）,作家出版社,¥28.60,94.
黑柳彻子,607049条评论,窗边的小豆豆,南海出版公司,¥24.10,95.
林奕含,841条评论,房思琪的初恋乐园,北京联合出版有限公司,¥35.70,96.
古斯塔夫·勒庞,18134条评论,乌合之众：群体时代的大众心理（精装插图版）,北京联合出版公司,¥29.90,97.
维尔纳霍尔茨瓦特,47335条评论,是谁嗯嗯在我的头上,河北教育出版社,¥23.10,98.
康恩·伊古尔登,46967条评论,男孩的冒险书（少儿绘图版，全三册）,广西科学技术出版社,¥150.70,99.
佐佐木洋子,535754条评论,小熊宝宝绘本（全15册）,连环画出版社,¥67.80,100.
马克·李维,848328条评论,偷影子的人,湖南文艺出版社,¥23.80,61.
卡尔,181882条评论,好饿的毛毛虫,明天出版社,¥35.20,62.
米莎·布莱斯,9362条评论,生命 : 万物不可思议的连接方式（让孩子们秒懂世界起源的万物简史,江苏凤凰美术出版社,¥60.70,63.
林汉达,140315条评论,上下五千年（最新版）,少年儿童出版社,¥70.60,64.
稻盛和夫,80463条评论,阿米巴经营——畅销十周年纪念版，当当全国独家（团购，请致电01,中国大百科全书出版社,¥27.60,65.
科恩,70253条评论,游戏力（套装全2册）,中国人口出版社,¥70.80,66.
伍绮诗,178682条评论,无声告白（就是她！征服欧美文坛的华裔作家！）,江苏文艺出版社,¥24.20,67.
乔安娜·柯尔,43377条评论,神奇校车·手工益智版（全8册）,贵州人民出版社,¥96.20,68.
李筱懿,3729条评论,情商是什么（杨澜、吴晓波联袂推荐。所谓情商高，绝不仅仅是会说,浙江文艺出版社,¥34.60,69.
凯利,34851条评论,自控力（2017年纪念新版）,文化发展出版社,¥34.60,70.
亚历克斯·弗里思,43302条评论,英国脑力阶梯训练（全三册）,天天出版社有限责任公司,¥43.30,71.
艾伦,124058条评论,小威向前冲,贵州人民出版社,¥20.60,72.
老杨的猫头鹰,1147条评论,好看的皮囊千篇一律，有趣的灵魂万里挑一（老杨的猫头鹰最新作品,现代出版社,¥29.40,73.
三毛,33062条评论,三毛全集02：撒哈拉的故事（1-9年级必读书单）,北京十月文艺出版社,¥34.70,74.
郭翔,26994条评论,漫画万物由来（中国童书榜zui佳童书奖，桂冠童书奖，当当原创科普,辽宁少年儿童出版社,¥67.60,75.
梭罗,247092条评论,瓦尔登湖(珍藏本) 朗读者朗读书目,中国三峡出版社,¥21.00,76.
培生集团,2464条评论,培生幼儿英语：预备级（升级版）,湖北少儿出版社,¥81.40,77.
卡伦·霍妮,47797条评论,我们内心的冲突（武志红、苏芩、张德芬曾深受此书影响）,长江文艺出版社,¥34.40,78.
乔安娜柯尔,188390条评论,神奇校车·阅读版（全16册）,贵州人民出版社,¥102.60,79.
沈从文,184575条评论,边城（沈从文诞辰115周年纪念典藏版）精选沈从文代表性的小说25篇,武汉出版社,¥25.80,80.
刘墉,100025条评论,刘墉给孩子的成长书,接力出版社,¥132.00,161.
乔安娜柯尔,98713条评论,神奇校车人文版（共3册）,贵州人民出版社,¥36.10,162.
岩村和朗,68259条评论,14只老鼠全集（全12册）,接力出版社,¥138.00,163.
齐藤幸一,9073条评论,噼里啪啦立体玩具书（0-3岁适用）,２１世纪出版社,¥120.20,164.
川端康成,172136条评论,雪国,南海出版公司,¥30.40,165.
大卫·香农David,114029条评论,大卫，不可以,河北教育出版社,¥29.30,166.
小P老师,9245条评论,媲美明星3  心机美颜术 （当当网全国独家发售！亚洲超人气明星造,江苏人民出版社,¥39.80,167.
沈复,125990条评论,浮生六记（珍藏本）,中国三峡出版社,¥13.00,168.
艾德兰,23488条评论,我们的身体,未来出版社,¥123.50,169.
玛丁妮阿加西,70324条评论,手不是用来打人的 (全4册),新世界出版社,¥45.20,170.
斯科特·派克,12664条评论,少有人走的路：心智成熟的旅程 （白金升级版）,中华工商联合出版社,¥39.80,171.
科恩,17452条评论,游戏力(美国国家亲子出版奖金奖)笑声，激活孩子天性中的合作与勇,中国人口出版社,¥38.00,172.
